"location_id","national","region","district","subcounty","facility","location_name","cases","year","week","q1","q3","iqr","potential_outlier"
"J77zWm3xXbx","MOH - Uganda","Kampala","Kampala District","Makindye Division","Zaam Medical Centre Katwe HC III","Zaam Medical Centre Katwe HC III",42,2022,50,1,13.4999999999999,12.4999999999999,1
"JOD4jzkAQIJ","MOH - Uganda","Busoga","Kaliro District","Kaliro Town Council","Kaliro Flep HC II","Kaliro Flep HC II",53,2022,52,11.775,28.1999999999999,16.4249999999999,1
"K17kI4DiiW4","MOH - Uganda","Lango","Oyam District","Minakulu Town Council","His Grace Medical Centre HC II","His Grace Medical Centre HC II",280,2022,48,18.35,49.825,31.475,1
"Kq6r9wr36GH","MOH - Uganda","Kampala","Kampala District","Nakawa Division","Luzira Upper Prison HC III","Luzira Upper Prison HC III",72,2022,49,4,21.325,17.325,1
"L9isDZQcpuo","MOH - Uganda","Teso","Bukedea District","Kidongole Subcounty","Kidongole HC III","Kidongole HC III",1000,2022,16,83.9,425.249999999998,341.349999999998,1
"LCLV69y7s8Z","MOH - Uganda","North Central","Kiboga District","Dwaniro Subcounty","Muyenje HC II","Muyenje HC II",623,2022,28,28.1,206.824999999999,178.724999999999,1
"M8hfqf9VtRV","MOH - Uganda","West Nile","Koboko District","Southern Division (Koboko MC)","Koboko Prison HC II","Koboko Prison HC II",127,2022,28,6,32.2,26.2,1
"MH0SVcF6X2F","MOH - Uganda","North Central","Luwero District","Bombo Town Council","Bombo General Military Hospital","Bombo General Military Hospital",410,2022,33,32.4,129.8,97.4,1
"Ml5daGLdYZG","MOH - Uganda","Bukedi","Pallisa District","Pallisa Town Council","St. Richard HC III","St. Richard HC III",320,2022,39,17.075,94.7749999999992,77.6999999999992,1
"Mlh3jcaJw9n","MOH - Uganda","North Central","Buikwe District","Nyenga Division","St. Francis Nyenga Hospital","St. Francis Nyenga Hospital",418,2023,1,12.25,127.875,115.625,1
"OZm6EKHBeMU","MOH - Uganda","Busoga","Jinja City","Mafubira Subcounty","St. Benedict's HC III","St. Benedict's HC III",144,2022,45,10.075,50.925,40.85,1
"Oib4aFmRmve","MOH - Uganda","West Nile","Arua City","Arua Hill Division","Arua Police HC III","Arua Police HC III",780,2022,24,21,92,71,1
"PryeJSoBxSs","MOH - Uganda","Tooro","Kasese District","Nyamwamba Division","Kyemihoko HC II","Kyemihoko HC II",75,2022,22,3,23.3249999999999,20.3249999999999,1
"Pt5JdbbEF6k","MOH - Uganda","Lango","Oyam District","Ngai Subcounty","Ageno Drugshop","Ageno Drugshop",348,2022,45,2,10.9,8.9,1
"QiVIw8ruYEs","MOH - Uganda","Busoga","Buyende District","Irundu Subcounty","Nkoone HC II","Nkoone HC II",720,2022,33,39.375,210.75,171.375,1
"Qo6Yl2KCs1f","MOH - Uganda","Tooro","Kasese District","Nyakatonzi Subcounty","Nyakatonzi Good Care Samaritan HC II","Nyakatonzi Good Care Samaritan HC II",72,2022,22,1,12.7999999999997,11.7999999999997,1
"Rzh65XAwmdB","MOH - Uganda","Bukedi","Tororo District","Osukuru Subcounty","Tororo Women Prison HC II","Tororo Women Prison HC II",15,2022,17,1,4.875,3.875,1
"ScJudq9evei","MOH - Uganda","South Central","Kalungu District","Kalungu Subcounty","Bwanda (Kalungu) HC II","Bwanda (Kalungu) HC II",97,2022,23,4,34,30,1
"TT8I4Fy4d5r","MOH - Uganda","Kampala","Kampala District","Kawempe Division","Komamboga HC III","Komamboga HC III",414,2022,25,13.25,113,99.75,1
"UTcf3vkubN9","MOH - Uganda","South Central","Wakiso District","Wakiso Town Council","Wakiso HC IV","Wakiso HC IV",251,2022,32,21.075,100.55,79.475,1
"VXTxQRCiH2C","MOH - Uganda","South Central","Mpigi District","Muduma Subcounty","Nswanjere HC III","Nswanjere HC III",150,2022,35,8.9,44.5499999999997,35.6499999999997,1
"Wmc36bI5m96","MOH - Uganda","Ankole","Ibanda District","Bufunda Division","Bufunda HC III","Bufunda HC III",777,2022,11,10.275,104.825,94.55,1
"XazfKCvCCLS","MOH - Uganda","Lango","Amolatar District","Amolatar Town Council","Amolatar HC IV","Amolatar HC IV",1500,2022,44,27.825,331.975,304.15,1
"YGIoDeKaKA5","MOH - Uganda","Tooro","Kasese District","Kinyamaseke Town Council","Kinyamaseke HC III","Kinyamaseke HC III",121,2023,1,5.225,40.775,35.55,1
"a01gDo4KauR","MOH - Uganda","North Central","Luwero District","Bombo Town Council","St. Luke Namaliga HC III","St. Luke Namaliga HC III",144,2022,6,5,25.25,20.25,1
"a3f7BmwY4kL","MOH - Uganda","Teso","Serere District","Olio Subcounty","St. Martins Amakio","St. Martins Amakio",192,2022,19,11.05,43.9,32.85,1
"a3qhORZNhaG","MOH - Uganda","Bugisu","Sironko District","Legenya Subcounty","Bunagami HC III","Bunagami HC III",134,2022,13,4,20.8999999999998,16.8999999999998,1
"a929G14p47c","MOH - Uganda","Bugisu","Mbale City","Northern Division (Mbale MC)","TASO Mbale Special Clinic","TASO Mbale Special Clinic",32,2022,32,1,8.87499999999989,7.87499999999989,1
"aBir3f6laiu","MOH - Uganda","Bugisu","Kapchorwa District","Kapsinda Subcounty","Kaserem Christian Medical Centre","Kaserem Christian Medical Centre",193,2022,19,2,72.6000000000001,70.6000000000001,1
"aK4gwJ4rOvw","MOH - Uganda","Busoga","Bugiri District","Nabukalu Subcounty","Wangobo HC II","Wangobo HC II",8640,2022,43,28.65,1615.94999999998,1587.29999999998,1
"aLQq5QTDV2s","MOH - Uganda","South Central","Mpigi District","Kiringente Subcounty","St. Monica Katende HC III","St. Monica Katende HC III",190,2022,2,8.2,34.4,26.2,1
"akpHXftD4yu","MOH - Uganda","South Central","Wakiso District","Nabweru Division","Nabweru HC III","Nabweru HC III",132,2022,32,14,48,34,1
"aksBs5cOAWx","MOH - Uganda","Kampala","Kampala District","Makindye Division","Hope Clinic (Makindye) HC II","Hope Clinic (Makindye) HC II",66,2022,24,2,24,22,1
"ao6V9sOp2DA","MOH - Uganda","Busoga","Mayuge District","Malongo Subcounty (Mayuge District)","Malongo HC III","Malongo HC III",1231,2022,39,62.2,230,167.8,1
"aqG8bVVJdXW","MOH - Uganda","Teso","Kumi District","Kanyum Subcounty","Olimai HC III","Olimai HC III",150,2022,2,1.85,36.0999999999998,34.2499999999998,1
"az7Fcxfmke7","MOH - Uganda","Busoga","Iganga District","Namungalwe Subcounty","Namunkesu HC II","Namunkesu HC II",465,2022,40,58,199,141,1
"b2LlvIFGc5U","MOH - Uganda","Acholi","Gulu City","Gulu East","AAR Gulu Clinic","AAR Gulu Clinic",170,2022,36,4.3,42.55,38.25,1
"bfuuMFOyqp6","MOH - Uganda","North Central","Mukono District","Nama Subcounty","Kasenge HC II","Kasenge HC II",142,2022,22,20,63.65,43.65,1
"cOpgsVK1JpT","MOH - Uganda","Ankole","Ntungamo District","Nyamukana Town Council","Buhanama HC II","Buhanama HC II",57,2022,44,1,9,8,1
"cVZrPQHkHcg","MOH - Uganda","North Central","Nakasongola District","Nabiswera Subcounty","Buyamba HC II","Buyamba HC II",588,2022,43,13.7,146.849999999999,133.149999999999,1
"d4SWIOIHBxG","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","Andrew Medical Centre HC II","Andrew Medical Centre HC II",24,2022,37,1,9.125,8.125,1
"d8wJvZXLzrK","MOH - Uganda","Tooro","Kasese District","Central Division (Kasese MC)","Afya Kamili HC III","Afya Kamili HC III",70,2022,20,1.2,24.4,23.2,1
"dILdbpei9pW","MOH - Uganda","Kigezi","Rubanda District","Hamurwa Subcounty","Kakore HC II","Kakore HC II",9,2022,28,1,4,3,1
"dNKE6O9h1wU","MOH - Uganda","Kampala","Kampala District","Nakawa Division","Bendo Clinic HC II","Bendo Clinic HC II",25,2022,30,1,10.375,9.37499999999998,1
"dim1yW6CLFU","MOH - Uganda","Tooro","Kitagwenda District","Buhanda Subcounty","Kakasi COU HC II","Kakasi COU HC II",122,2022,41,12,51.4499999999999,39.4499999999999,1
"dyD1iVotBI3","MOH - Uganda","Busoga","Bugiri District","Eastern Division (Bugiri MC)","Fast Line Cinic Clinic","Fast Line Cinic Clinic",221,2022,15,10,71.6749999999995,61.6749999999995,1
"efN24flmJeb","MOH - Uganda","Tooro","Bunyangabu District","Kisomoro Subcounty","Kisomoro HC III","Kisomoro HC III",282,2022,44,4.9,80.1,75.2,1
"emjerwHdu0g","MOH - Uganda","Karamoja","Amudat District","Karita Subcounty","Lokales HC II","Lokales HC II",276,2022,39,8,112.7,104.7,1
"fwXHhVfG1tX","MOH - Uganda","Kigezi","Rukiga District","Rukiga Town Council","Kihanga HC III","Kihanga HC III",11,2022,16,1,4.75,3.75,1
"gZ4Iz3QkH9w","MOH - Uganda","Kampala","Kampala District","Kawempe Division","Kyebando Health Clinic HC II","Kyebando Health Clinic HC II",277,2022,38,1,20.5749999999996,19.5749999999996,1
"hA3RIyJEMci","MOH - Uganda","Acholi","Nwoya District","Anaka Town Council","NUMES Medical Centre","NUMES Medical Centre",133,2022,17,1,18.3,17.3,1
"hSxonAXpBbW","MOH - Uganda","Tooro","Kasese District","Kitholhu Subcounty","Kanyatsi HC II","Kanyatsi HC II",327,2022,23,5,132.575,127.575,1
"hcm0msXFRQJ","MOH - Uganda","West Nile","Yumbe District","Ariwa Subcounty","Ariwa HC III","Ariwa HC III",749,2022,24,52,319,267,1
"jcX3kPVo5yB","MOH - Uganda","Ankole","Mitooma District","Kashenshero Subcounty","Bukuba HC II","Bukuba HC II",230,2022,35,7.075,84.8,77.725,1
"jvPJLFJ3Rt1","MOH - Uganda","Karamoja","Kaabong District","Kaabong Town Council","Kaabong Mission HC III","Kaabong Mission HC III",101,2022,25,3.05,36.85,33.8,1
"kG0Pg9QsbJM","MOH - Uganda","Acholi","Gulu City","Gulu West","St. Nektarios Orthodox HC III","St. Nektarios Orthodox HC III",97,2022,45,2,15.475,13.475,1
"kbI3b6L8ayi","MOH - Uganda","South Central","Sembabule District","Mateete Subcounty","Kabundi HC II","Kabundi HC II",2016,2023,1,16.5,159.5,143,1
"l5IkUjOGO6K","MOH - Uganda","North Central","Luwero District","Bamunanika Subcounty","Bamunanika Prison HC II","Bamunanika Prison HC II",97,2022,14,2,19.65,17.65,1
"m2ROGumujet","MOH - Uganda","South Central","Wakiso District","Namayumba Town Council","Namayumba HC IV","Namayumba HC IV",730,2022,30,37,210,173,1
"mvcNk6uSThn","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","International Medical Centre, Kololo HC II","International Medical Centre, Kololo HC II",60,2022,45,2,22.0499999999999,20.0499999999999,1
"ntpmcM5sv9V","MOH - Uganda","Tooro","Bundibugyo District","Ntotoro Subcounty","Mantoroba HC II","Mantoroba HC II",123,2022,34,6.05,44.55,38.5,1
"oIU8rYhh7S4","MOH - Uganda","North Central","Mityana District","Central Division (Mityana MC)","JARO Hospital Annex HC III","JARO Hospital Annex HC III",70,2022,35,2,12,10,1
"pVtYCy55mn4","MOH - Uganda","Acholi","Gulu City","Gulu West","Gulu Women Prison HC II","Gulu Women Prison HC II",21,2022,15,1,7.12499999999994,6.12499999999994,1
"qRhE9EvVxkv","MOH - Uganda","South Central","Lyantonde District","Kasagama Subcounty","Buyanja (Kasagama) HC II","Buyanja (Kasagama) HC II",150,2022,29,3.875,46.75,42.875,1
"rWhuHZdqFk8","MOH - Uganda","Bunyoro","Hoima City","Western Ward","Azur HC IV","Azur HC IV",118,2022,33,10.075,44.85,34.775,1
"rrjDjA0JfXN","MOH - Uganda","Ankole","Kiruhura District","Rushere Town Council","Rushere Community Hospital","Rushere Community Hospital",90,2022,3,3.175,31.825,28.65,1
"sDHVCkgwa38","MOH - Uganda","North Central","Luwero District","Katikamu Subcounty","Nsawo Rcc HC III","Nsawo Rcc HC III",136,2022,22,2.2,18.6,16.4,1
"sDSduj1yuPM","MOH - Uganda","South Central","Kyotera District","Nangooma Subcounty","Nangoma HC III","Nangoma HC III",755,2022,13,1,136.375,135.375,1
"tbnRIEGuscu","MOH - Uganda","Ankole","Bushenyi District","Bitooma Subcounty","Kashambya (Bushenyi) HC III","Kashambya (Bushenyi) HC III",252,2022,28,31,117,86,1
"toGKbXMtRf8","MOH - Uganda","Ankole","Kazo District","Engari Subcounty","Engari Community HC III","Engari Community HC III",16,2022,45,1,6.375,5.375,1
"uqk1XgbxpCg","MOH - Uganda","West Nile","Maracha District","Alikua Subcounty","Yivu Abea HC III","Yivu Abea HC III",227,2022,28,37.175,98.3,61.125,1
"xyPQWpIId6U","MOH - Uganda","West Nile","Arua City","Arua Hill Division","Arua Women Prison HC II","Arua Women Prison HC II",34,2022,19,1,11.775,10.775,1
"yEukLFOEQ1X","MOH - Uganda","Acholi","Omoro District","Odek Subcounty","Dino HC II","Dino HC II",855,2022,43,32.15,267.2,235.05,1
"yWHTUO9adBP","MOH - Uganda","Tooro","Kyenjojo District","Bugaaki Subcounty","Kagorogoro Dispensary HC II","Kagorogoro Dispensary HC II",141,2022,4,5,26.0499999999997,21.0499999999997,1
"ynZ2uFLfTTa","MOH - Uganda","Kampala","Kampala District","Makindye Division","Weej Medical Center HC II","Weej Medical Center HC II",116,2022,24,6,45.5,39.5,1
"zSlpKhPNJIB","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","Uganda Cares Owino Clinic","Uganda Cares Owino Clinic",14,2022,1,1,6,5,1
"zm3feXqnn0Z","MOH - Uganda","Kampala","Kampala District","Makindye Division","Malcom Health Care Centre (Kibuye II) HC II","Malcom Health Care Centre (Kibuye II) HC II",213,2022,11,15.4,94.2000000000002,78.8000000000002,1
"zyI8GDUVYdE","MOH - Uganda","Busoga","Kamuli District","Namwendwa Subcounty","Namwendwa HC IV","Namwendwa HC IV",2401,2022,23,83.15,483.899999999994,400.749999999994,1
