periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,033B-CD01b. Malaria (diagnosed) - Deaths,033B-AP02. Total OPD,033B-CD01a. Malaria (diagnosed)  - Cases,033B-MA01. Suspected Malaria (Fever),033B-TR08. RDT (Malaria) Tests,033B-TR01. ACT (Tablets),033B-MA02. Cases Tested with RDT,033B-MA03. RDT Positive Cases,033B-MA04. Cases Tested with Microscopy,033B-MA05. Microscopy Positive Cases
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Makindye Division,A & K Clinic HC II,g44JyPVuZ8h,A & K Clinic HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Makindye Division,AAA Dental & Oral Surgery Clinic HC II,EDljgyL8rYo,AAA Dental & Oral Surgery Clinic HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Teso,Katakwi District,Usuk Subcounty,Aakum HC II,J2JiemiIQvD,Aakum HC II,,,,5358.0,3399.0,4540.0,39801.0,1279926.0,4540.0,2981.0,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Central Division (Kampala CCA),AAR Buganda Road Branch,KMKSbxhedfy,AAR Buganda Road Branch,,,,6926.0,1784.0,1765.0,,,652.0,41.0,1704.0,108.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Nakawa Division,AAR Bugolobi Health Care HC II,FbzPPH8fy5s,AAR Bugolobi Health Care HC II,,,,8032.0,532.0,1852.0,364.0,3330.0,1656.0,223.0,1522.0,230.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Central Division (Kampala CCA),AAR City Centre HC II,hE3E3nXNUjX,AAR City Centre HC II,,,,8000.0,25.0,3268.0,6444.0,8194.0,1658.0,10.0,2258.0,11.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Central Division (Kampala CCA),AAR Clinic Acacia HC II,I6QbcVsphVT,AAR Clinic Acacia HC II,,,,225.0,4.0,152.0,,,182.0,4.0,100.0,9.0
2022,2022,2022,,MOH - Uganda,South Central,Wakiso District,Bweyogerere Division,AAR Clinic Bweyogerere HC II,Ppyz6vwPpKi,AAR Clinic Bweyogerere HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,South Central,Wakiso District,Massajja Division,AAR Clinic Freedom City HC II,H9VMaF4vdmM,AAR Clinic Freedom City HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Acholi,Gulu City,Gulu East,AAR Gulu Clinic,b2LlvIFGc5U,AAR Gulu Clinic,,,,16010.0,1093.0,7198.0,3089.0,63159.0,1222.0,195.0,5991.0,766.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Makindye Division,AAR Kabalagala Clinic HC II,pLkoHnX3Ukn,AAR Kabalagala Clinic HC II,,,,7809.0,262.0,2402.0,1183.0,200.0,1525.0,225.0,2362.0,244.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Rubaga Division,AAR Nateete Health Centre HC II,KFEyDFAf0wm,AAR Nateete Health Centre HC II,,,,193.0,16.0,151.0,130.0,618.0,76.0,8.0,75.0,8.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Nakawa Division,AAR Ntinda HC II,j1gpp563TOQ,AAR Ntinda HC II,,,,11745.0,363.0,2954.0,6688.0,7902.0,2560.0,163.0,2532.0,157.0
2022,2022,2022,,MOH - Uganda,Teso,Serere District,Pingire Subcounty,Aarapoo HC III,aVQCbe80pl7,Aarapoo HC III,,,,8925.0,2992.0,5195.0,623632.0,5552951.0,5128.0,3098.0,64.0,30.0
2022,2022,2022,,MOH - Uganda,North Central,Mukono District,Kyampisi Subcounty,Abaase Dispensary Clinic,LBXgpCULyDB,Abaase Dispensary Clinic,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,South Central,Wakiso District,Katabi Town Council,Abaita Medical Centre Clinic,gqBr1S7L6yG,Abaita Medical Centre Clinic,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Lango,Alebtong District,Abako Subcounty,Abako HC III,yDPmjwoOIxi,Abako HC III,,,,15432.0,10429.0,12747.0,53573.0,4739373.0,11827.0,9247.0,1019.0,696.0
2022,2022,2022,,MOH - Uganda,Lango,Alebtong District,Awei Subcounty,Abako-Elim HC II,etPrOnArvd1,Abako-Elim HC II,,,,3365.0,2498.0,2908.0,48924.0,394882.0,2877.0,2450.0,31.0,22.0
2022,2022,2022,,MOH - Uganda,Lango,Lira District,Agweng Subcounty,Abala HC III,E9a1cflRJZf,Abala HC III,,,,8671.0,4273.0,6200.0,30075.0,344978.0,4770.0,3480.0,1429.0,792.0
2022,2022,2022,,MOH - Uganda,Teso,Kalaki District,Ogwolo Subcounty,Abalang HC II (Anyara Subcounty),aQrkHdMfe12,Abalang HC II (Anyara Subcounty),,,,941.0,183.0,471.0,442.0,14809.0,32.0,26.0,436.0,432.0
2022,2022,2022,,Dokolo District,Okwalongwen Subcounty,Abalang HC II (Okwalongwen Subcounty),,,UjMKFe4MIGj,Abalang HC II (Okwalongwen Subcounty),,,,16359.0,11818.0,15072.0,186215.0,1611788.0,15072.0,11765.0,,
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Acaba Subcounty,Abanya HC II,hPIXVP3f1nP,Abanya HC II,,,,4366.0,2529.0,2967.0,137975.0,165711.0,2917.0,1995.0,,
2022,2022,2022,,MOH - Uganda,Teso,Amuria District,Abarilela Subcounty,Abarilela HC III,IswqGyDbcgm,Abarilela HC III,,,1.0,12119.0,4831.0,10041.0,1047150.0,437220.0,9940.0,4775.0,110.0,60.0
2022,2022,2022,,MOH - Uganda,Tooro,Kyenjojo District,Butunduuzi Town Council,Abbu Clinic,eqXcVOLqXPI,Abbu Clinic,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Kawempe Division,Abc Clinic HC II,QfL0LY9NZa1,Abc Clinic HC II,,,,698.0,461.0,556.0,265.0,1971.0,508.0,403.0,39.0,16.0
2022,2022,2022,,MOH - Uganda,North Central,Kayunga District,Kangulumira Subcounty,Abc Maternity Home Clinic,aqVk5wVqyQf,Abc Maternity Home Clinic,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Tooro,Kitagwenda District,Nyabbani Subcounty,Abednego Medical Centre HC II,yVYFwnN6Cnd,Abednego Medical Centre HC II,,,,89.0,52.0,37.0,24.0,471.0,23.0,11.0,,
2022,2022,2022,,MOH - Uganda,Lango,Kwania District,Abongomola Subcounty,Abedober HC III,YhPJwSvxDcC,Abedober HC III,,,,1458.0,337.0,810.0,6441.0,125616.0,573.0,257.0,236.0,59.0
2022,2022,2022,,MOH - Uganda,Lango,Kwania District,Chawente Subcounty,Abei HC II,BRYcaY1oeHd,Abei HC II,,,,5358.0,3620.0,4442.0,57580.0,174619.0,4426.0,3449.0,,
2022,2022,2022,,MOH - Uganda,Teso,Amuria District,Ogolai Subcounty,Abeko CBO HC II,o7CJeTwDapk,Abeko CBO HC II,,,,1392.0,423.0,1014.0,6117.0,170868.0,941.0,776.0,72.0,55.0
2022,2022,2022,,MOH - Uganda,Teso,Amuria District,Ogolai Subcounty,Abeko HC II,UiGav1NitiR,Abeko HC II,,,,3279.0,1841.0,2615.0,169157.0,3337803.0,2595.0,1836.0,4.0,4.0
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Aleka Subcounty,Abela HC II,i783Z5CHxyj,Abela HC II,,,,11188.0,7540.0,9419.0,596291.0,1604594.0,9419.0,6862.0,156.0,
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Aber Subcounty,Aber HC II,A9Bt9vywHbP,Aber HC II,,,,5110.0,3513.0,4709.0,159469.0,567720.0,4707.0,3250.0,,
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Kamdini Subcounty,Aber Hospital,cDGKAJzfkpf,Aber Hospital,,,,19144.0,2013.0,6722.0,47928.0,951182.0,2969.0,1061.0,3692.0,954.0
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Aber Subcounty,Aber Prisons Clinic,nvvdOyxWiBW,Aber Prisons Clinic,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Bunyoro,Kagadi District,Mabaale Town Council,Abesiga Mukama Domiciliary Maternity,qvXqsKHH1LH,Abesiga Mukama Domiciliary Maternity,,,,590.0,161.0,434.0,333.0,11960.0,434.0,158.0,,
2022,2022,2022,,MOH - Uganda,West Nile,Moyo District,Octe Subcounty,Abeso HC II,ZubUtSX9erU,Abeso HC II,,,,4692.0,2763.0,3861.0,31770.0,3664172.0,3546.0,2502.0,,
2022,2022,2022,,MOH - Uganda,Lango,Alebtong District,Abia Subcounty,Abia HC II (Abia Subcounty),SNwc1CQIXTN,Abia HC II (Abia Subcounty),,,,10142.0,4854.0,7604.0,79807.0,975566.0,7604.0,5523.0,,
2022,2022,2022,,MOH - Uganda,Teso,Amuria District,Kuju Subcounty,Abia HC II (Kuju Subcounty),yZP0DwhrfR8,Abia HC II (Kuju Subcounty),,,,4840.0,3141.0,4352.0,190198.0,4286069.0,4352.0,2970.0,,
2022,2022,2022,,MOH - Uganda,South Central,Wakiso District,Nansana Division,Abigail Medical Centre HC II,t15uLLkZzQR,Abigail Medical Centre HC II,,,,73.0,13.0,29.0,,,26.0,13.0,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Kawempe Division,Abii Clinic HC IV,KUFnXlL4bk3,Abii Clinic HC IV,,,,17006.0,109.0,3204.0,1229.0,20281.0,1453.0,32.0,1499.0,59.0
2022,2022,2022,,MOH - Uganda,Karamoja,Amudat District,Loroo Subcounty,Abiliyep HC III,QtKKTyoBfMv,Abiliyep HC III,,,,4447.0,1557.0,2302.0,58002.0,359120.0,2217.0,1373.0,,
2022,2022,2022,,MOH - Uganda,Acholi,Agago District,Lapono Subcounty,Abilonino HC II,aGfndLfPcOz,Abilonino HC II,,,,2227.0,2218.0,2146.0,141571.0,4141412.0,2146.0,1547.0,,
2022,2022,2022,,MOH - Uganda,Karamoja,Abim District,Abim Town Council,Abim Hospital,RxPKxSBe0DC,Abim Hospital,,,,31031.0,6576.0,13641.0,2100.0,30800.0,10845.0,5129.0,3053.0,1181.0
2022,2022,2022,,MOH - Uganda,Karamoja,Abim District,Morulem Subcounty,Abim Obolokome HC II,ltIECAx2ppI,Abim Obolokome HC II,,,,3782.0,1958.0,1621.0,43865.0,250080.0,1621.0,897.0,,
2022,2022,2022,,MOH - Uganda,Teso,Kaberamaido District,Aperikira Subcounty,Abirabira HC II,LvFBfRqhgKN,Abirabira HC II,,,,7542.0,5816.0,7024.0,23617.0,1115260.0,6787.0,5143.0,,
2022,2022,2022,,MOH - Uganda,West Nile,Yumbe District,Odravu Subcounty,Abiriamajo HC II,RnXpcMWI5Zu,Abiriamajo HC II,,,,8152.0,5805.0,7476.0,133708.0,19582010.0,7476.0,5780.0,,
2022,2022,2022,,MOH - Uganda,West Nile,Arua City,River Oli Division,Abiriambati General Clinic,hw8AtCN24sp,Abiriambati General Clinic,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,South Central,Wakiso District,Ndejje Division,Abison Medical Clinic HC II,YTBLK7mhWSM,Abison Medical Clinic HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Lango,Kole District,Aboke Subcounty,Aboke HC IV,UIhutvdIhqU,Aboke HC IV,,,,19905.0,9534.0,13001.0,76125.0,20193484.0,9571.0,6975.0,2637.0,1324.0
2022,2022,2022,,MOH - Uganda,Lango,Kole District,Aboke Subcounty,Aboke Mission HC III,mpqPtBSjAgz,Aboke Mission HC III,,,,3126.0,595.0,1288.0,13725.0,339150.0,1148.0,496.0,115.0,53.0
2022,2022,2022,,MOH - Uganda,West Nile,Nebbi District,Erussi Subcounty,Abongo HC II,stZgyEm9xer,Abongo HC II,,,,8099.0,6318.0,7856.0,56420.0,5602680.0,7558.0,5713.0,,
2022,2022,2022,,MOH - Uganda,Lango,Kwania District,Abongomola Subcounty,Abongomola HC III,xzRSc5XHzys,Abongomola HC III,,,,9810.0,3515.0,7119.0,56498.0,577380.0,7041.0,4864.0,2.0,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Kawempe Division,Above All Medical Centre HC II,U7EsMSb275z,Above All Medical Centre HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Nakawa Division,Abu Health Care Clinic HC II,Wvs8OuhExJ6,Abu Health Care Clinic HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Rubaga Division,Abu Kats Medical Centre HC II,Qd8EIIhg2oM,Abu Kats Medical Centre HC II,,,,527.0,109.0,463.0,145.0,360.0,451.0,107.0,12.0,3.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Nakawa Division,Abuhealth Care Clinic HC II,mU2wb7Ck8rK,Abuhealth Care Clinic HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Lango,Lira District,Barr Subcounty,Abunga HC II,bySgMOvuyJ2,Abunga HC II,,,,5033.0,2530.0,3554.0,15556.0,370125.0,3360.0,2610.0,,
2022,2022,2022,,MOH - Uganda,Bukedi,Tororo District,Osukuru Subcounty,Abur Community Clinic,IEinEE2eNTM,Abur Community Clinic,,,,757.0,22.0,661.0,60.0,264.0,579.0,501.0,,
2022,2022,2022,,MOH - Uganda,Acholi,Omoro District,Ongako Subcounty,Abwoch HC II,JryqknC2SNp,Abwoch HC II,,,,12989.0,7107.0,8201.0,85837.0,2319857.0,7733.0,4951.0,192.0,136.0
2022,2022,2022,,MOH - Uganda,Lango,Kwania District,Abongomola Subcounty,Abwong HC II,ak9IdtlLSjV,Abwong HC II,,,,5369.0,2593.0,4663.0,60492.0,199168.0,4654.0,3450.0,,
2022,2022,2022,,MOH - Uganda,Lango,Otuke District,Adwari Subcounty,Acane HC II,I2vtsfZKyVP,Acane HC II,,,,4892.0,2561.0,3941.0,209831.0,2154523.0,3941.0,3056.0,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Makindye Division,Access Clinic HC II,DhNRFgDOTR6,Access Clinic HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,North Central,Nakaseke District,Nakaseke Town Council,Access Life Care HC II,BQl9b7pSAhx,Access Life Care HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Acholi,Omoro District,Odek Subcounty,Acet Community Oriented Clinic,aaEtUWpmosm,Acet Community Oriented Clinic,,,,804.0,386.0,505.0,5541.0,79806.0,410.0,305.0,,
2022,2022,2022,,MOH - Uganda,Acholi,Omoro District,Odek Subcounty,Acet HC II,b5RkGqLLhrM,Acet HC II,,,,13219.0,8104.0,11059.0,75850.0,966234.0,9072.0,6385.0,1666.0,1137.0
2022,2022,2022,,MOH - Uganda,Tooro,Kabarole District,Kiko Town Council,ACF Uganda Kigarama HC III,oYv97XgXQGa,ACF Uganda Kigarama HC III,,,,238.0,236.0,311.0,7.0,4003.0,27.0,34.0,305.0,198.0
2022,2022,2022,,MOH - Uganda,Karamoja,Moroto District,Nadunget Subcounty,Acherer HC II,hUExMWP2C4O,Acherer HC II,,,,3944.0,2306.0,3882.0,78337.0,433056.0,3882.0,2722.0,,
2022,2022,2022,,MOH - Uganda,Acholi,Pader District,Acholibur Subcounty,Acholi-Bur HC III,KgFiiUmrRxI,Acholi-Bur HC III,,,,10711.0,6902.0,9403.0,131435.0,1011326.0,8655.0,6450.0,1284.0,436.0
2022,2022,2022,,MOH - Uganda,Acholi,Agago District,Arum Subcounty,Acholpii HC III,aKoVWgIufTx,Acholpii HC III,,,,12506.0,8675.0,11250.0,245900.0,12374498.0,11202.0,8505.0,19.0,11.0
2022,2022,2022,,MOH - Uganda,Karamoja,Amudat District,Loroo Subcounty,Achorichor HC II,DXPEWHcbZwC,Achorichor HC II,,,,3291.0,1756.0,2624.0,43265.0,1379304.0,2616.0,1772.0,,
2022,2022,2022,,MOH - Uganda,Lango,Amolatar District,Namasale Subcounty,Acii HC II,kBCFqr2AhTe,Acii HC II,,,,9320.0,6492.0,9337.0,116627.0,887252.0,9146.0,6416.0,,
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Myene Subcounty,Acimi HC II,w9roqtex0ih,Acimi HC II,,,,13003.0,7177.0,10572.0,224133.0,648490.0,9368.0,7477.0,1.0,
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Otwal Subcounty,Acokara HC II,x4fr2px73Bq,Acokara HC II,,,,9665.0,7446.0,8464.0,256700.0,2755121.0,8464.0,6636.0,,
2022,2022,2022,,MOH - Uganda,Teso,Kapelebyong District,Acowa Subcounty,Acowa HC III,krIH36G6xhy,Acowa HC III,,,,10984.0,4217.0,8998.0,731950.0,7535460.0,8911.0,4318.0,134.0,68.0
2022,2022,2022,,MOH - Uganda,South Central,Kyotera District,Kakuuto Subcounty,Act Medical Centre HC II,b3SVArj5dFP,Act Medical Centre HC II,,,,3082.0,1323.0,1845.0,64.0,104137.0,182.0,43.0,1662.0,1276.0
2022,2022,2022,,MOH - Uganda,South Central,Wakiso District,Mende Subcounty,Act Now Clinic HC II,kQeei91EB4G,Act Now Clinic HC II,,,,321.0,86.0,117.0,203.0,2203.0,99.0,77.0,,
2022,2022,2022,,MOH - Uganda,South Central,Wakiso District,Kasangati Town Council,Active Life Medical Centre HC III,umnNuFWx2MR,Active Life Medical Centre HC III,,,,22.0,3.0,9.0,,,3.0,1.0,6.0,2.0
2022,2022,2022,,MOH - Uganda,Ankole,Mbarara City,Kakoba Division,Acumpa Medical Center Clinic,FB9UPPYu0VI,Acumpa Medical Center Clinic,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Acholi,Agago District,Lira Palwo Subcounty,Acuru HC II,wLkwoyLOOZe,Acuru HC II,,,,3987.0,2674.0,3958.0,79475.0,2431388.0,3957.0,2844.0,,
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Abok Subcounty,Acut HC II,MJ9v2U4WWzE,Acut HC II,,,,3873.0,2421.0,3562.0,61861.0,88192.0,3535.0,2914.0,,
2022,2022,2022,,MOH - Uganda,North Central,Kayunga District,Nazigo Subcounty,Acute Health Care HC II,SC1rAlJqGGu,Acute Health Care HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Lango,Kwania District,Nambieso Subcounty,Acwao HC II,L8aG2wV3SbE,Acwao HC II,,,,5477.0,4558.0,4981.0,23218.0,182786.0,4981.0,4054.0,,
2022,2022,2022,,Dokolo District,Dokolo Subcounty,Adagmon HC II,,,zy3p9lNo0dh,Adagmon HC II,,,,17145.0,11843.0,13985.0,196973.0,2071819.0,13491.0,11114.0,488.0,418.0
2022,2022,2022,,MOH - Uganda,Teso,Amuria District,Orungo Subcounty,Adakun HC II,M864p5iRGub,Adakun HC II,,,16.0,2037.0,674.0,1625.0,5025.0,462100.0,1212.0,598.0,165.0,87.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Makindye Division,Adcare Medical Centre HC II,QK5ZCQuizO6,Adcare Medical Centre HC II,,,,1833.0,71.0,861.0,1396.0,1158.0,677.0,37.0,160.0,19.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Kawempe Division,Addy Memorial Hospital,Gc3ib2w1tQW,Addy Memorial Hospital,,,,500.0,127.0,274.0,14.0,34.0,54.0,32.0,222.0,96.0
2022,2022,2022,,MOH - Uganda,Karamoja,Abim District,Morulem Subcounty,Adea HC II,vXlnJIdin7f,Adea HC II,,,,6831.0,3676.0,5383.0,26552.0,2968597.0,5367.0,3251.0,,67.0
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Loro Subcounty,Adigo HC II,qQ3wnUFmTck,Adigo HC II,,,,6805.0,4363.0,6276.0,183442.0,882123.0,6276.0,4350.0,,
2022,2022,2022,,MOH - Uganda,Acholi,Agago District,Adilang Subcounty,Adilang HC III,FvewOonC8lS,Adilang HC III,OU_01,,,13193.0,7826.0,12107.0,109728.0,3711844.0,11402.0,7973.0,8.0,162.0
2022,2022,2022,,MOH - Uganda,West Nile,Adjumani District,Adjumani Town Council,Adjumani Hospital,hvtKTUxWNrt,Adjumani Hospital,,,,12437.0,4383.0,6367.0,31350.0,13325604.0,3266.0,2201.0,3021.0,1660.0
2022,2022,2022,,MOH - Uganda,West Nile,Adjumani District,Adjumani Town Council,Adjumani Mission HC III,aoqEF4fUP18,Adjumani Mission HC III,,,,9828.0,2167.0,3750.0,69646.0,2420212.0,1886.0,817.0,1899.0,1292.0
2022,2022,2022,,MOH - Uganda,West Nile,Adjumani District,Adjumani Town Council,Adjumani Police HC II,mZWFol2c0sc,Adjumani Police HC II,,,,1863.0,777.0,1565.0,96865.0,4003164.0,1565.0,918.0,,
2022,2022,2022,,MOH - Uganda,West Nile,Adjumani District,Adropi Subcounty,Adjumani Prisons HC II,UTC3IbJUl4K,Adjumani Prisons HC II,,,,10781.0,1753.0,3984.0,26860.0,1191670.0,3939.0,2023.0,,
2022,2022,2022,,Dokolo District,Adok Subcounty,Adok HC II,,,tdWJ67qCYZK,Adok HC II,,,,14208.0,8200.0,12013.0,300247.0,3536242.0,11941.0,7902.0,36.0,30.0
2022,2022,2022,,Dokolo District,Adok Subcounty,Adok Maternity Home,,,edmPMqBbzJw,Adok Maternity Home,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Lango,Kwania District,Aduku Town Council,Aduku HC IV,WEH3aMvIS0B,Aduku HC IV,,,,27308.0,8985.0,16221.0,80366.0,3352758.0,8641.0,5325.0,7129.0,3723.0
2022,2022,2022,,MOH - Uganda,Lango,Kwania District,Aduku Town Council,Aduku Mission HC II,YrbvkUaWpi1,Aduku Mission HC II,,,,214.0,55.0,113.0,1972.0,145190.0,65.0,32.0,48.0,22.0
2022,2022,2022,,MOH - Uganda,Lango,Lira City,Ojwina Division,Aduku Road Maternity Home HC III,FoJythstdxB,Aduku Road Maternity Home HC III,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,West Nile,Arua City,Adumi Subcounty,Adumi HC IV,H7pcxkjHX8T,Adumi HC IV,,,,3118.0,1303.0,2745.0,44320.0,389202.0,2104.0,1121.0,623.0,280.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Central Division (Kampala CCA),Adventist Medical Centre HC III,aWtkpwtp9JE,Adventist Medical Centre HC III,,,,1654.0,147.0,657.0,1327.0,256641.0,266.0,65.0,350.0,81.0
2022,2022,2022,,MOH - Uganda,Lango,Alebtong District,Omoro Subcounty,Adwir HC II,klwx6rSe63o,Adwir HC II,,,,7817.0,5766.0,6928.0,93075.0,2474748.0,6928.0,5587.0,,
2022,2022,2022,,Dokolo District,Agwata Subcounty,Adwoki Maternity Home,,,I6dPpBBTk04,Adwoki Maternity Home,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Loro Subcounty,Adyeda Baracks HC II,NYF35p8MsAW,Adyeda Baracks HC II,,,,1469.0,523.0,859.0,701.0,53184.0,794.0,497.0,,
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Aber Subcounty,Adyegi HC II,z2gOui585Sl,Adyegi HC II,,,,4269.0,2858.0,3631.0,103535.0,841234.0,3586.0,2693.0,,
2022,2022,2022,,MOH - Uganda,Lango,Lira City,Adyel Division,Adyel HC III,wHkTdzF4SpR,Adyel HC III,,,,5456.0,1788.0,3705.0,108773.0,5008750.0,3524.0,1723.0,137.0,67.0
2022,2022,2022,,MOH - Uganda,Teso,Kapelebyong District,Okungur Subcounty,Aeket HC II,b9epW1JQKWV,Aeket HC II,,,,2495.0,1565.0,2054.0,149180.0,5929616.0,2054.0,1568.0,,
2022,2022,2022,,MOH - Uganda,Lango,Oyam District,Loro Town Council,Aero Medical Center HC II,nJpOMVvfqsv,Aero Medical Center HC II,,,,2691.0,982.0,1257.0,6540.0,121173.0,634.0,483.0,617.0,441.0
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Kawempe Division,Aestram Medical Centre HC II,IQS9JC6tLqf,Aestram Medical Centre HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Makindye Division,Afaayo Medical Centre HC II,b1q8b2dPv7x,Afaayo Medical Centre HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Rubaga Division,Afayo Clinic HC II,nC1oMDxIYAV,Afayo Clinic HC II,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,Bukedi,Tororo District,Malaba Town Council,Afia Bora Medical Center Clinic,ZRBqBbpBodi,Afia Bora Medical Center Clinic,,,,,,,,,,,,
2022,2022,2022,,MOH - Uganda,West Nile,Moyo District,Moyo Subcounty,Afoji HC II,aEvCseBkEDr,Afoji HC II,,,,2001.0,1243.0,1477.0,44450.0,2120400.0,1099.0,806.0,,
2022,2022,2022,,MOH - Uganda,Kampala,Kampala District,Central Division (Kampala CCA),Afram Dental Surgery HC II,RYjPNztwgsb,Afram Dental Surgery HC II,,,,,,,,,,,,
