"location_name","parent","latitude","longitude","location_id","level","path_to_top_parent","authority","facility_level","operational_status","organisation_unit_levels","ownership"
"Abc Maternity Home Clinic","eN59rRkxQhi",NA,NA,"aqVk5wVqyQf",5,"akV6429SUqu,Dl9WvtvDs5V,ykxQEnZGXkj,eN59rRkxQhi,aqVk5wVqyQf","Private","Clinic","Functional","Health Facilities","PFP"
"Abednego Medical Centre HC II","lmgYdspcL6p",NA,NA,"yVYFwnN6Cnd",5,"akV6429SUqu,JZhJ50nOirX,qKmESX5Owwr,lmgYdspcL6p,yVYFwnN6Cnd","Private","HC II","Functional","Health Facilities","PFP"
"Abedober HC III","mhMXhrnEHGU",1.94593,32.8508,"YhPJwSvxDcC",5,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR,mhMXhrnEHGU,YhPJwSvxDcC","UCMB","HC III","Functional","Health Facilities","PNFP"
"Abei HC II","s8bn45A31mu",1.68949,32.59793,"BRYcaY1oeHd",5,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR,s8bn45A31mu,BRYcaY1oeHd","MOH","HC II","Functional","Health Facilities","GOV"
"Abeko CBO HC II","p1iOb5SBsBd",2.03051,33.53494,"o7CJeTwDapk",5,"akV6429SUqu,r0GhWtmPHDj,TM6ccNxawqy,p1iOb5SBsBd,o7CJeTwDapk","CBO","HC II","Functional","Health Facilities","PNFP"
"Abeko HC II","p1iOb5SBsBd",2.03051,33.53494,"UiGav1NitiR",5,"akV6429SUqu,r0GhWtmPHDj,TM6ccNxawqy,p1iOb5SBsBd,UiGav1NitiR","MOH","HC II","Functional","Health Facilities","GOV"
"Abela HC II","BXgAR3Kq8kv",2.59879,32.75053,"i783Z5CHxyj",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,BXgAR3Kq8kv,i783Z5CHxyj","MOH","HC II","Functional","Health Facilities","GOV"
"Aber HC II","xuuOj2eAPqb",2.236962,32.386588,"A9Bt9vywHbP",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,xuuOj2eAPqb,A9Bt9vywHbP","MOH","HC II","Functional","Health Facilities","GOV"
"Aber Hospital","HtZQp7J8zCH",NA,NA,"cDGKAJzfkpf",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,HtZQp7J8zCH,cDGKAJzfkpf","UCMB","Hospital","Functional","Health Facilities","PNFP"
"Aber Prisons Clinic","xuuOj2eAPqb",NA,NA,"nvvdOyxWiBW",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,xuuOj2eAPqb,nvvdOyxWiBW","UPS","HC II","Functional",NA,"GOV"
"Abesiga Mukama Domiciliary Maternity","d27fZPZvPV9",NA,NA,"qvXqsKHH1LH",5,"akV6429SUqu,yx0ieyZNF0l,orgY0d5MJa9,d27fZPZvPV9,qvXqsKHH1LH","Private","Clinic","Functional","Health Facilities","PFP"
"Abeso HC II","aCaPqIkvV2s",3.65161,31.76547,"ZubUtSX9erU",5,"akV6429SUqu,BD3XaQ7cQAp,W0kQBddyGyh,aCaPqIkvV2s,ZubUtSX9erU","MOH","HC II","Functional","Health Facilities","GOV"
"Abia HC II (Abia Subcounty)","jM15KbiS4KY",2.42085,33.15979,"SNwc1CQIXTN",5,"akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT,jM15KbiS4KY,SNwc1CQIXTN","MOH","HC II","Functional","Health Facilities","GOV"
"Abia HC II (Kuju Subcounty)","lUpDen75Xj1",1.9823,33.57547,"yZP0DwhrfR8",5,"akV6429SUqu,r0GhWtmPHDj,TM6ccNxawqy,lUpDen75Xj1,yZP0DwhrfR8","MOH","HC II","Functional","Health Facilities","GOV"
"Abigail Medical Centre HC II","h7rS7d8M2jI",NA,NA,"t15uLLkZzQR",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,h7rS7d8M2jI,t15uLLkZzQR","Private","HC II","Non-Functional","Health Facilities","PFP"
"Abii Clinic HC IV","LYuMx5oPsR5",NA,NA,"KUFnXlL4bk3",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,KUFnXlL4bk3","Private","HC IV","Functional","Health Facilities","PFP"
"Abiliyep HC III","lJWSXSCBtli",NA,NA,"QtKKTyoBfMv",5,"akV6429SUqu,jdlbNUwJiKX,a8RHFdF4DXL,lJWSXSCBtli,QtKKTyoBfMv","MOH","HC III","Functional",NA,"GOV"
"Abilonino HC II","qUDCFxUq4uw",2.87899,33.4388,"aGfndLfPcOz",5,"akV6429SUqu,SUvODYOcaVf,ztIyIYAzFKp,qUDCFxUq4uw,aGfndLfPcOz","MOH","HC II","Functional","Health Facilities","GOV"
"Abim Hospital","SVXuVZuvsit",2.67686,33.66236,"RxPKxSBe0DC",5,"akV6429SUqu,jdlbNUwJiKX,NREoMszwQZW,SVXuVZuvsit,RxPKxSBe0DC","MOH","Hospital","Functional","Health Facilities","GOV"
"Abim Obolokome HC II","YeM7sYuP1xa",2.58851,33.79094,"ltIECAx2ppI",5,"akV6429SUqu,jdlbNUwJiKX,NREoMszwQZW,YeM7sYuP1xa,ltIECAx2ppI","MOH","HC II","Functional","Health Facilities","GOV"
"Abirabira HC II","R7ff2hyU6vl",1.70848,33.21273,"LvFBfRqhgKN",5,"akV6429SUqu,r0GhWtmPHDj,QoRZB7xc3j9,R7ff2hyU6vl,LvFBfRqhgKN","MOH","HC II","Functional","Health Facilities","GOV"
"Abiriamajo HC II","apKpog39DlX",3.38005,31.29646,"RnXpcMWI5Zu",5,"akV6429SUqu,BD3XaQ7cQAp,W1JM2Qdhcv3,apKpog39DlX,RnXpcMWI5Zu","MOH","HC II","Functional","Health Facilities","GOV"
"Abiriambati General Clinic","g4jN39Mu4K8",NA,NA,"hw8AtCN24sp",5,"akV6429SUqu,BD3XaQ7cQAp,iQTVPmAJPkr,g4jN39Mu4K8,hw8AtCN24sp","Private","Clinic","Non-Functional","Health Facilities","PFP"
"Abison Medical Clinic HC II","WcTXblqtAB7",NA,NA,"YTBLK7mhWSM",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,WcTXblqtAB7,YTBLK7mhWSM","Private","HC II","Non-Functional","Health Facilities","PFP"
"Aboke HC IV","XTljgoHlV32",2.3513,32.6813,"UIhutvdIhqU",5,"akV6429SUqu,DWPnYhoqza0,Y4LV8xqkv6J,XTljgoHlV32,UIhutvdIhqU","MOH","HC IV","Functional","Health Facilities","GOV"
"Aboke Mission HC III","XTljgoHlV32",2.37705,32.70663,"mpqPtBSjAgz",5,"akV6429SUqu,DWPnYhoqza0,Y4LV8xqkv6J,XTljgoHlV32,mpqPtBSjAgz","UCMB","HC III","Functional","Health Facilities","PNFP"
"Abongo HC II","afAjPIjW0D3",2.29225,31.12852,"stZgyEm9xer",5,"akV6429SUqu,BD3XaQ7cQAp,Xjc0LDFa5gW,afAjPIjW0D3,stZgyEm9xer","MOH","HC II","Functional","Health Facilities","GOV"
"Abongomola HC III","mhMXhrnEHGU",1.9996,32.83161,"xzRSc5XHzys",5,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR,mhMXhrnEHGU,xzRSc5XHzys","MOH","HC III","Functional","Health Facilities","GOV"
"Above All Madical Centre HC II","LYuMx5oPsR5",NA,NA,"U7EsMSb275z",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,U7EsMSb275z","Private","HC II","Functional","Health Facilities","PFP"
"Abu Health Care Clinic HC II","kKEBeO1LL7S",NA,NA,"Wvs8OuhExJ6",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,Wvs8OuhExJ6","Private","HC II","Functional","Health Facilities","PFP"
"Abu Kats Medical Centre HC II","oweSpFBNbmi",NA,NA,"Qd8EIIhg2oM",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,oweSpFBNbmi,Qd8EIIhg2oM","Private","HC II","Functional","Health Facilities","PFP"
"Abuhealth Care Clinic HC II","kKEBeO1LL7S",NA,NA,"mU2wb7Ck8rK",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,mU2wb7Ck8rK","Private","HC II","Functional","Health Facilities","PFP"
"Abunga HC II","TibfOVehAIg",2.30099,33.04301,"bySgMOvuyJ2",5,"akV6429SUqu,DWPnYhoqza0,Lj8t70RYnEt,TibfOVehAIg,bySgMOvuyJ2","MOH","HC II","Functional","Health Facilities","GOV"
"Abur Community Clinic","QjFwopEl3i9",NA,NA,"IEinEE2eNTM",5,"akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y,QjFwopEl3i9,IEinEE2eNTM",NA,"HC II","Functional",NA,"PFP"
"Abwoch HC II","hMmTuvB73LZ",2.70519,32.2818,"JryqknC2SNp",5,"akV6429SUqu,SUvODYOcaVf,S5fvUXgY54J,hMmTuvB73LZ,JryqknC2SNp","MOH","HC II","Functional","Health Facilities","GOV"
"Abwong HC II","mhMXhrnEHGU",2.05885,32.85343,"ak9IdtlLSjV",5,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR,mhMXhrnEHGU,ak9IdtlLSjV","MOH","HC II","Functional","Health Facilities","GOV"
"Acane HC II","oslXMLLbQdv",NA,NA,"I2vtsfZKyVP",5,"akV6429SUqu,DWPnYhoqza0,aXjub1BYn1y,oslXMLLbQdv,I2vtsfZKyVP","MOH","HC II","Functional","Health Facilities","GOV"
"Access Clinic HC II","FbuhMjEaMXt",NA,NA,"DhNRFgDOTR6",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,DhNRFgDOTR6","Private","HC II","Non-Functional","Health Facilities","PFP"
"Access Life Care HC II","lOsKnJcNQzX",NA,NA,"BQl9b7pSAhx",5,"akV6429SUqu,Dl9WvtvDs5V,aSbgVKaeCP0,lOsKnJcNQzX,BQl9b7pSAhx",NA,"HC II","Functional",NA,"PFP"
"Acet Community Oriented Clinic","acQJJL9aUo0",2.68794,32.65478,"aaEtUWpmosm",5,"akV6429SUqu,SUvODYOcaVf,S5fvUXgY54J,acQJJL9aUo0,aaEtUWpmosm","Private","Clinic","Non-Functional","Health Facilities","PFP"
"Acet HC II","acQJJL9aUo0",NA,NA,"b5RkGqLLhrM",5,"akV6429SUqu,SUvODYOcaVf,S5fvUXgY54J,acQJJL9aUo0,b5RkGqLLhrM","MOH","HC II","Functional","Health Facilities","GOV"
"Acherer HC II","JEKNYSV6wvH",NA,NA,"hUExMWP2C4O",5,"akV6429SUqu,jdlbNUwJiKX,A9kRCvmn6Co,JEKNYSV6wvH,hUExMWP2C4O","MOH","HC II","Functional","Health Facilities","GOV"
"Acholi-Bur HC III","IcEOvr6u0b6",3.15405,32.91527,"KgFiiUmrRxI",5,"akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31,IcEOvr6u0b6,KgFiiUmrRxI","MOH","HC III","Functional","Health Facilities","GOV"
"Acholpii HC III","y2tqwpJlSZd",2.697541,33.099431,"aKoVWgIufTx",5,"akV6429SUqu,SUvODYOcaVf,ztIyIYAzFKp,y2tqwpJlSZd,aKoVWgIufTx","MOH","HC III","Functional","Health Facilities","GOV"
"Achorichor HC II","lJWSXSCBtli",1.66444,34.94363,"DXPEWHcbZwC",5,"akV6429SUqu,jdlbNUwJiKX,a8RHFdF4DXL,lJWSXSCBtli,DXPEWHcbZwC","MOH","HC II","Functional","Health Facilities","GOV"
"Acii HC II","aMOfdLbimPZ",1.57998,32.63669,"kBCFqr2AhTe",5,"akV6429SUqu,DWPnYhoqza0,ZuQHWOaFQVM,aMOfdLbimPZ,kBCFqr2AhTe","MOH","HC II","Functional","Health Facilities","GOV"
"Acimi HC II","LBdhCYNiWCn",2.39442,32.25644,"w9roqtex0ih",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,LBdhCYNiWCn,w9roqtex0ih","MOH","HC II","Functional","Health Facilities","GOV"
"Acokara HC II","j9JRmkoveVc",2.56027,32.63002,"x4fr2px73Bq",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,j9JRmkoveVc,x4fr2px73Bq","MOH","HC II","Functional","Health Facilities","GOV"
"Acowa HC III","tfAnfdXJwCW",2.07524,33.79804,"krIH36G6xhy",5,"akV6429SUqu,r0GhWtmPHDj,mvN9LBbpf7X,tfAnfdXJwCW,krIH36G6xhy","MOH","HC III","Functional","Health Facilities","GOV"
"Act Medical Centre HC II","AyfxIwQbwaa",NA,NA,"b3SVArj5dFP",5,"akV6429SUqu,IEU0FjDAhBP,REJuxCmTwXG,AyfxIwQbwaa,b3SVArj5dFP",NA,"HC II","Functional",NA,"PFP"
"Act Now Clinic HC II","gAYBU4aipnZ",NA,NA,"kQeei91EB4G",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,gAYBU4aipnZ,kQeei91EB4G","Private","HC II","Non-Functional","Health Facilities","PFP"
"Active Life Medical Centre HC III","oyIJV2TSFLe",NA,NA,"umnNuFWx2MR",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,oyIJV2TSFLe,umnNuFWx2MR",NA,"HC III","Functional",NA,"PFP"
"Acumpa Medical Center Clinic","k7Wgi7O0JdY",NA,NA,"FB9UPPYu0VI",5,"akV6429SUqu,F1o6qBSx783,W7kX446X8Jn,k7Wgi7O0JdY,FB9UPPYu0VI","Private","Clinic","Functional","Health Facilities","PFP"
"Acuru HC II","pH004BIak3K",2.809988,33.143829,"wLkwoyLOOZe",5,"akV6429SUqu,SUvODYOcaVf,ztIyIYAzFKp,pH004BIak3K,wLkwoyLOOZe","MOH","HC II","Functional","Health Facilities","GOV"
"Acut HC II","vy4wRPZvp83",NA,NA,"MJ9v2U4WWzE",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,vy4wRPZvp83,MJ9v2U4WWzE","MOH","HC II","Functional","Health Facilities","GOV"
"Acute Health Care HC II","oWRTyNICPdf",NA,NA,"SC1rAlJqGGu",5,"akV6429SUqu,Dl9WvtvDs5V,ykxQEnZGXkj,oWRTyNICPdf,SC1rAlJqGGu","Private","HC II","Non-Functional","Health Facilities","PFP"
"Acwao HC II","aUF5lfBvkBv",1.89767,32.71652,"L8aG2wV3SbE",5,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR,aUF5lfBvkBv,L8aG2wV3SbE","MOH","HC II","Functional","Health Facilities","GOV"
"Adagmon HC II","F9n4CIZXoSa",NA,NA,"zy3p9lNo0dh",5,"akV6429SUqu,DWPnYhoqza0,wMQ25dybdgH,F9n4CIZXoSa,zy3p9lNo0dh","MOH","HC II","Functional","Health Facilities","GOV"
"Adakun HC II","PNnzRWEmz8V",NA,NA,"M864p5iRGub",5,"akV6429SUqu,r0GhWtmPHDj,TM6ccNxawqy,PNnzRWEmz8V,M864p5iRGub","CBO","HC II","Functional","Health Facilities","PNFP"
"Adcare Medical Centre HC II","FbuhMjEaMXt",NA,NA,"QK5ZCQuizO6",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,QK5ZCQuizO6","Private","HC II","Functional","Health Facilities","PFP"
"Addy Memorial Hospital","LYuMx5oPsR5",NA,NA,"Gc3ib2w1tQW",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,Gc3ib2w1tQW",NA,NA,"Functional",NA,NA
"Adea HC II","YeM7sYuP1xa",2.51721,33.66472,"vXlnJIdin7f",5,"akV6429SUqu,jdlbNUwJiKX,NREoMszwQZW,YeM7sYuP1xa,vXlnJIdin7f","MOH","HC II","Functional","Health Facilities","GOV"
"Adigo HC II","Lg96gQU7KFN",2.13687,32.49846,"qQ3wnUFmTck",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,Lg96gQU7KFN,qQ3wnUFmTck","MOH","HC II","Functional","Health Facilities","GOV"
"Adilang HC III","FihNC5KfGJV",2.74138,33.47525,"FvewOonC8lS",5,"akV6429SUqu,SUvODYOcaVf,ztIyIYAzFKp,FihNC5KfGJV,FvewOonC8lS","MOH","HC III","Functional","Health Facilities","GOV"
"Adjumani Hospital","AABKGoyjpm2",3.377464,31.791966,"hvtKTUxWNrt",5,"akV6429SUqu,BD3XaQ7cQAp,QYiQ2KqgCxj,AABKGoyjpm2,hvtKTUxWNrt","MOH","Hospital","Functional","Health Facilities","GOV"
"Adjumani Mission HC III","AABKGoyjpm2",3.378619,31.782109,"aoqEF4fUP18",5,"akV6429SUqu,BD3XaQ7cQAp,QYiQ2KqgCxj,AABKGoyjpm2,aoqEF4fUP18","UCMB","HC III","Functional","Health Facilities","PNFP"
"Adjumani Police HC II","AABKGoyjpm2",NA,NA,"mZWFol2c0sc",5,"akV6429SUqu,BD3XaQ7cQAp,QYiQ2KqgCxj,AABKGoyjpm2,mZWFol2c0sc","UPF","HC II","Functional","Health Facilities","GOV"
"Adjumani Prisons HC II","fSyCcycKdSl",NA,NA,"UTC3IbJUl4K",5,"akV6429SUqu,BD3XaQ7cQAp,QYiQ2KqgCxj,fSyCcycKdSl,UTC3IbJUl4K","UPS","HC II","Functional","Health Facilities","GOV"
"Adok HC II","Lo367kZNoT7",1.990526,32.918235,"tdWJ67qCYZK",5,"akV6429SUqu,DWPnYhoqza0,wMQ25dybdgH,Lo367kZNoT7,tdWJ67qCYZK","MOH","HC II","Functional","Health Facilities","GOV"
"Adok Maternity Home","Lo367kZNoT7",NA,NA,"edmPMqBbzJw",5,"akV6429SUqu,DWPnYhoqza0,wMQ25dybdgH,Lo367kZNoT7,edmPMqBbzJw","CBO",NA,"Functional","Health Facilities","PFP"
"Aduku HC IV","a5Rsb7b0H2V",1.99544,32.71821,"WEH3aMvIS0B",5,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR,a5Rsb7b0H2V,WEH3aMvIS0B","MOH","HC IV","Functional","Health Facilities","GOV"
"Aduku Mission HC II","a5Rsb7b0H2V",1.99291,32.71184,"YrbvkUaWpi1",5,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR,a5Rsb7b0H2V,YrbvkUaWpi1","UCMB","HC II","Functional","Health Facilities","PNFP"
"Aduku Road Maternity Home HC III","UNiDU0Y3r2i",NA,NA,"FoJythstdxB",5,"akV6429SUqu,DWPnYhoqza0,ullSvMrkHdi,UNiDU0Y3r2i,FoJythstdxB","Private","HC III","Non-Functional","Health Facilities","PFP"
"Adumi HC IV","iTWrGnwCEOJ",3.04145,30.83332,"H7pcxkjHX8T",5,"akV6429SUqu,BD3XaQ7cQAp,iQTVPmAJPkr,iTWrGnwCEOJ,H7pcxkjHX8T","MOH","HC IV","Functional","Health Facilities","GOV"
"Adventist Medical Centre HC III","zNdkt1W9dcu",0.32553,32.57029,"aWtkpwtp9JE",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,aWtkpwtp9JE","SDA","HC III","Functional","Health Facilities","PNFP"
