"district","year","week","tpr_district","tpr_status"
"Ibanda District",2022,52,45.6,"4. 40-55%"
"Gulu District",2022,52,78.975,"6. >70%"
"Obongi District",2022,52,37.8,"3. 25-40%"
"Kween District",2022,52,42.9,"4. 40-55%"
"Kapchorwa District",2022,52,23.15,"2. 10-25%"
"Pakwach District",2022,52,56.2333333333333,"5. 55-70%"
"Agago District",2022,52,56.85,"5. 55-70%"
"Alebtong District",2022,52,74.15,"6. >70%"
"Buhweju District",2022,52,70,"5. 55-70%"
"Karenga District",2022,52,29.45,"3. 25-40%"
"Abim District",2022,52,37.4,"3. 25-40%"
"Mbarara District",2022,52,30.5,"3. 25-40%"
"Kyegegwa District",2022,52,82.8,"6. >70%"
"Kiryandongo District",2022,52,42.5833333333333,"4. 40-55%"
"Buliisa District",2022,52,54.8,"4. 40-55%"
"Ngora District",2022,52,55.1,"5. 55-70%"
"Ntungamo District",2022,52,37.62,"3. 25-40%"
"Buvuma District",2022,52,41.8666666666667,"4. 40-55%"
"Gomba District",2022,52,66.025,"5. 55-70%"
"Rubanda District",2022,52,17.4,"2. 10-25%"
"Kabale District",2022,52,12.6,"2. 10-25%"
"Napak District",2022,52,37,"3. 25-40%"
"Kotido District",2022,52,56.7,"5. 55-70%"
"Amuru District",2022,52,46.8,"4. 40-55%"
"Kaliro District",2022,52,70.7666666666667,"6. >70%"
"Maracha District",2022,52,43.1,"4. 40-55%"
"Nabilatuk District",2022,52,41.6,"4. 40-55%"
"Arua District",2022,52,47.25,"4. 40-55%"
"Kassanda District",2022,52,60.8666666666667,"5. 55-70%"
"Kwania District",2022,52,82.85,"6. >70%"
"Rukiga District",2022,52,19.2,"2. 10-25%"
"Nakaseke District",2022,52,48,"4. 40-55%"
"Amudat District",2022,52,53.3,"4. 40-55%"
"Butebo District",2022,52,69.75,"5. 55-70%"
"Kabarole District",2022,52,54.45,"4. 40-55%"
"Moroto District",2022,52,29.1,"3. 25-40%"
"Kibaale District",2022,52,94.9,"6. >70%"
"Mitooma District",2022,52,30.6,"3. 25-40%"
"Bulambuli District",2022,52,18.4,"2. 10-25%"
